Comment,Designator,Footprint,LCSC
82pF,C5,C_0402_1005Metric,C107011
47uF/50V,C26,CP_Elec_6.3x7.7,C108053
15nF,C8,C_0402_1005Metric,C114405
1k,"R19,R8",R_0402_1005Metric,C11702
NCP18XH103F03RB,TH1,R_0603_1608Metric,C13564
16MHz,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
100nF/50V,"C14,C16,C19,C22,C23,C24",C_0603_1608Metric,C14663
100nF,"C36,C39,C40,C41,C42,C44,C45,C46",C_0402_1005Metric,C1525
22nF,C18,C_0402_1005Metric,C1532
12pF,"C37,C38",C_0402_1005Metric,C1547
10uF,C2,C_0402_1005Metric,C15525
22pF,"C47,C48",C_0402_1005Metric,C1555
2.2nF,"C20,C21,C6,C7",C_0603_1608Metric,C1604
MCP25625,U4,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,C191253
2.2R,"R13,R14,R25,R26,R28,R29",R_0603_1608Metric,C22939
4.7uF,C3,C_0402_1005Metric,C23733
120R,"R30,R31,R37",R_0402_1005Metric,C25079
22R,"R16,R17",R_0402_1005Metric,C25092
330R,R9,R_0402_1005Metric,C25104
680R,"R5,R7",R_0402_1005Metric,C25130
10k,"R18,R2,R20,R24,R35,R36,R38,R4,R6",R_0402_1005Metric,C25744
18k,"R23,R33",R_0402_1005Metric,C25762
220k 1%,R22,R_0402_1005Metric,C25767
47k,R15,R_0402_1005Metric,C25792
3.3k,"R10,R11,R12,R21,R34",R_0402_1005Metric,C25890
4.7k,"R1,R3",R_0402_1005Metric,C25900
Conn_02x02_Top_Bottom,"J6,J7",JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,C2829252
Conn_01x06,J1,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,C2829255
Conn_01x09,J4,JST_GH_SM09B-GHS-TB_1x09-1MP_P1.25mm_Horizontal,C2829258
4.7uF/50V,"C11,C17",C_1206_3216Metric,C29823
22uH/1.5A,L1,L_Bourns-SRN8040_8x8.15mm,C354640
LED_BAGR,LD1,RGB LED 1.6x1.6mm,C375569
0.5mÎ©,"R27,R32",R_2512_6332Metric,C469426
AS5147,U5,TSSOP-14_4.4x5mm_P0.65mm,C481876
2.2uF/16V,"C10,C33",C_0402_1005Metric,C501836
2.2uF/50V,"C15,C27,C9",C_1206_3216Metric,C50254
SW_Push,"SW1,SW2",SW_SPST_CK_RS282G05A3,C520860
270pF,"C1,C4",C_0402_1005Metric,C524551
1uF,"C12,C13,C43",C_0402_1005Metric,C52923
STM32G431CBT6,U3,LQFP-48_7x7mm_P0.5mm,C529355
8MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C57131
68uF,C25,CP_EIA-6032-28_Kemet-C,C7220
CSD18540Q5B,"Q1,Q2,Q3,Q4,Q5,Q6",TDSON-8-1,C86513
XC6220B331MR,U1,SOT-23-5,C86534
SS34,D1,D_SMA,C8678
Conn_01x02,J3,AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733
DRV8301,U2,HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,C98969
Debug,J2,PinHeader_1x06_P2.54mm_Vertical,
Conn_01x03,J5,AMASS MR30PB-F,
100nF,C50,C_0603_1608Metric,
22uF/50V,C29,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
1uF,C49,C_0603_1608Metric,
22uF/50V,C30,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
22uF/50V,C31,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
22uF/50V,C32,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
22uF/50V,C28,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
22uF/50V,C35,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
22uF/50V,C34,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
