Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,270pF,C_0402_1005Metric,21.1,-32,0,top
C2,10uF,C_0402_1005Metric,17.9,-2.4,90,top
C3,4.7uF,C_0402_1005Metric,17.9,-4.6,-90,top
C4,270pF,C_0402_1005Metric,18.7,-14.7,90,top
C5,82pF,C_0402_1005Metric,17.2,-14.2,0,top
C6,2.2nF,C_0603_1608Metric,8.9,-27.31,180,top
C7,2.2nF,C_0603_1608Metric,8.9,-28.81,180,top
C8,15nF,C_0402_1005Metric,20.1,-14.7,-90,top
C9,2.2uF/50V,C_1206_3216Metric,40.5,-15.75,-90,top
C10,2.2uF/16V,C_0402_1005Metric,11.05,-22.090001,180,top
C11,4.7uF/50V,C_1206_3216Metric,25,-32.2,-90,top
C12,1uF,C_0402_1005Metric,11.4,-26.54,180,top
C13,1uF,C_0402_1005Metric,11.4,-29.590001,180,top
C14,100nF/50V,C_0603_1608Metric,22.95,-32.049999,-90,top
C15,2.2uF/50V,C_1206_3216Metric,32.75,-24.8,180,top
C16,100nF/50V,C_0603_1608Metric,22.2,-14.819999,180,top
C17,4.7uF/50V,C_1206_3216Metric,26.5,-16.069999,0,top
C18,22nF,C_0402_1005Metric,11.5,-23.56,-90,top
C19,100nF/50V,C_0603_1608Metric,26.9,-18.1,0,top
C20,2.2nF,C_0603_1608Metric,26.8,-27.85,180,top
C21,2.2nF,C_0603_1608Metric,27.2,-30.6,-90,top
C22,100nF/50V,C_0603_1608Metric,26.9,-20.3,180,top
C23,100nF/50V,C_0603_1608Metric,26.9,-22.8,180,top
C24,100nF/50V,C_0603_1608Metric,26.9,-24.8,180,top
C25,68uF,CP_EIA-6032-28_Kemet-C,23.2,-2.8,180,top
C26,47uF/50V,CP_Elec_6.3x7.7,33.7,-14.8,0,top
C27,2.2uF/50V,C_1206_3216Metric,32.2,-37.2,180,top
C28,22uF/50V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,33.4,-35.6,0,bottom
C29,22uF/50V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,34.9,-39.9,270,bottom
C30,22uF/50V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,38.2,-39.9,270,bottom
C31,22uF/50V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,34.2,-13.8,0,bottom
C32,22uF/50V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,34.2,-17.2,0,bottom
C33,2.2uF/16V,C_0402_1005Metric,38.5,-20.75,90,top
C34,22uF/50V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,32.2,-29.3,0,bottom
C35,22uF/50V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,32.2,-25.9,0,bottom
C36,100nF,C_0402_1005Metric,18.726776,-35.312815,135,top
C37,12pF,C_0402_1005Metric,23.85,-48.5,90,top
C38,12pF,C_0402_1005Metric,23.85,-46.5,90,top
C39,100nF,C_0402_1005Metric,12.362815,-41.323223,-135,top
C40,100nF,C_0402_1005Metric,18.4,-48.1,-45,top
C41,100nF,C_0402_1005Metric,19.405599,-47.6589,-45,top
C42,100nF,C_0402_1005Metric,22.085533,-35.843145,45,top
C43,1uF,C_0402_1005Metric,22.79264,-36.550252,45,top
C44,100nF,C_0402_1005Metric,8.2,-35.65,0,top
C45,100nF,C_0402_1005Metric,7.1,-45.3,-90,top
C46,100nF,C_0402_1005Metric,9.9,-39.35,-90,top
C47,22pF,C_0402_1005Metric,3.2,-35,180,top
C48,22pF,C_0402_1005Metric,3.2,-29.6,180,top
C49,1uF,C_0603_1608Metric,24.7,-31.4,270,bottom
C50,100nF,C_0603_1608Metric,26.4,-31.4,270,bottom
D1,SS34,D_SMA,17,-10.1,90,top
J1,Conn_01x06,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,3.2,-13.15,90,bottom
J2,Debug,PinHeader_1x06_P2.54mm_Vertical,29.9,-48.2,90,top
J3,Conn_01x02,AMASS_XT60-M_1x02_P7.20mm_Vertical,32.55,-4.799999,0,top
J4,Conn_01x09,JST_GH_SM09B-GHS-TB_1x09-1MP_P1.25mm_Horizontal,3.2,-13.15,270,top
J5,Conn_01x03,AMASS MR30PB-F,46.75,-28,-90,top
J6,Conn_02x02_Top_Bottom,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,9.6,-3.2,180,top
J7,Conn_02x02_Top_Bottom,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,9.6,-3.2,180,bottom
L1,22uH/1.5A,L_Bourns-SRN8040_8x8.15mm,23.3,-9.299999,90,top
LD1,LED_BAGR,RGB LED 1.6x1.6mm,6.6,-48.4,180,top
Q1,CSD18540Q5B,TDSON-8-1,45.8,-12.75,90,top
Q2,CSD18540Q5B,TDSON-8-1,45.8,-18.55,270,top
Q3,CSD18540Q5B,TDSON-8-1,40,-24.7,90,top
Q4,CSD18540Q5B,TDSON-8-1,40,-30.75,270,top
Q5,CSD18540Q5B,TDSON-8-1,40,-36.75,90,top
Q6,CSD18540Q5B,TDSON-8-1,46.75,-38.25,0,top
R1,4.7k,R_0402_1005Metric,7.7,-14.4,180,top
R2,10k,R_0402_1005Metric,14.7,-47.1,-135,top
R3,4.7k,R_0402_1005Metric,7.7,-13.15,180,top
R4,10k,R_0402_1005Metric,21.1,-31,180,top
R5,680R,R_0402_1005Metric,21.1,-33,0,top
R6,10k,R_0402_1005Metric,25.5,-44.5,180,top
R7,680R,R_0402_1005Metric,9,-47.2,0,top
R8,1k,R_0402_1005Metric,9.01,-48.2,0,top
R9,330R,R_0402_1005Metric,9,-49.2,0,top
R10,3.3k,R_0402_1005Metric,7.7,-9.4,180,top
R11,3.3k,R_0402_1005Metric,7.7,-10.65,180,top
R12,3.3k,R_0402_1005Metric,7.7,-11.9,180,top
R13,2.2R,R_0603_1608Metric,47.25,-8.75,180,top
R14,2.2R,R_0603_1608Metric,32.5,-21.25,180,top
R15,47k,R_0402_1005Metric,17.2,-15.2,180,top
R16,22R,R_0402_1005Metric,11.4,-27.54,180,top
R17,22R,R_0402_1005Metric,11.4,-28.54,180,top
R18,10k,R_0402_1005Metric,10.5,-19.55,-90,top
R19,1k,R_0402_1005Metric,10.5,-23.56,-90,top
R20,10k,R_0402_1005Metric,10.5,-15.71,90,top
R21,3.3k,R_0402_1005Metric,11.05,-21.090001,0,top
R22,220k 1%,R_0402_1005Metric,15.11,-15.2,180,top
R23,18k,R_0402_1005Metric,11.5,-19.56,90,top
R24,10k,R_0402_1005Metric,11.5,-15.7,90,top
R25,2.2R,R_0603_1608Metric,32.5,-22.8,180,top
R26,2.2R,R_0603_1608Metric,32,-33.5,180,top
R27,0.5mΩ,R_2512_6332Metric,32.4,-30.1,180,top
R28,2.2R,R_0603_1608Metric,32,-35,180,top
R29,2.2R,R_0603_1608Metric,42.75,-45.5,180,top
R30,120R,R_0402_1005Metric,32.65,-26.8,0,top
R31,120R,R_0402_1005Metric,40.25,-44.75,90,top
R32,0.5mΩ,R_2512_6332Metric,39.75,-41.75,180,top
R33,18k,R_0402_1005Metric,13.5,-15.7,90,top
R34,3.3k,R_0402_1005Metric,12.509999,-15.7,-90,top
R35,10k,R_0402_1005Metric,37.5,-20.75,-90,top
R36,10k,R_0402_1005Metric,5.9,-45.3,90,top
R37,120R,R_0402_1005Metric,5.5,-35.2,90,top
R38,10k,R_0402_1005Metric,16.5,-32.9,0,top
SW1,SW_Push,SW_SPST_CK_RS282G05A3,12.6,-47.65,0,bottom
SW2,SW_Push,SW_SPST_CK_RS282G05A3,22.6,-47.65,180,bottom
TH1,NCP18XH103F03RB,R_0603_1608Metric,40.5,-21,180,top
U1,XC6220B331MR,SOT-23-5,15.6,-3.5,90,top
U2,DRV8301,HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,18.95,-23.069999,270,top
U3,STM32G431CBT6,LQFP-48_7x7mm_P0.5mm,18.55,-41.5,45,top
U4,MCP25625,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,5.6,-40,180,top
U5,AS5147,TSSOP-14_4.4x5mm_P0.65mm,25,-25,0,bottom
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,26.1,-47.5,90,top
Y2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,3.2,-32.3,-90,top
